Date,Open,High,Low,Close,Adj Close,Volume,Range,Percent change
2008-10-13,93.87000274658203,101.3499984741211,89.94999694824219,101.3499984741211,78.9744644165039,455584000,11.400001525878906,12.144456367658943
2008-10-10,86.76000213623047,93.94000244140625,83.58000183105469,88.5,68.96143341064453,871026300,10.360000610351562,11.940987039262978
2008-11-13,86.12999725341797,91.7300033569336,82.08999633789062,91.16999816894531,71.04193878173828,753141900,9.640007019042969,11.192392112447695
2008-10-28,87.33999633789062,94.23999786376953,84.52999877929688,93.76000213623047,73.0601577758789,639939500,9.709999084472656,11.117471366620812
2008-10-09,99.66000366210938,100.62000274658203,90.25,90.69999694824219,70.67569732666016,534485200,10.370002746582031,10.405380659768824
2010-05-06,116.26000213623047,117.0,105.0,112.94000244140625,91.14778900146484,647356600,12.0,10.321692567955324
1997-10-28,84.375,92.875,84.375,92.21875,60.5405387878418,19548000,8.5,10.074074074074074
2002-07-24,78.12999725341797,85.12000274658203,77.68000030517578,84.72000122070312,58.88497543334961,107022800,7.44000244140625,9.522594013761815
2008-11-20,80.12999725341797,82.51000213623047,75.05000305175781,75.44999694824219,58.79254150390625,814180400,7.459999084472656,9.309870635437276
2009-02-05,82.69999694824219,85.29000091552734,77.7300033569336,84.56999969482422,66.43402862548828,417679400,7.55999755859375,9.14147259681905
2008-10-16,91.29000091552734,94.7699966430664,86.54000091552734,93.7699966430664,73.06793212890625,708811200,8.229995727539062,9.015221431703631
2008-10-22,93.19999694824219,95.86000061035156,87.52999877929688,90.63999938964844,70.6290054321289,516168000,8.330001831054688,8.93777049765429
2020-03-13,263.0899963378906,271.4800109863281,248.52000427246094,269.32000732421875,264.3826904296875,329566100,22.960006713867188,8.727054252712554
1998-08-31,103.75,104.015625,95.0,96.0,63.657405853271484,22563100,9.015625,8.68975903614458
2020-03-18,236.25,248.3699951171875,228.02000427246094,240.0,235.60020446777344,327597100,20.349990844726562,8.613752738508598
2008-11-21,77.45999908447266,80.9000015258789,74.33999633789062,79.5199966430664,61.963985443115234,718536500,6.560005187988281,8.468893965302506
2008-10-15,97.45999908447266,97.80000305175781,89.70999908447266,90.0199966430664,70.1458511352539,484627500,8.090003967285156,8.300845519476367
2020-03-16,241.17999267578125,256.8999938964844,237.36000061035156,239.85000610351562,235.45297241210938,297240000,19.539993286132812,8.101830118388163
2008-11-24,81.91999816894531,86.98999786376953,80.36000061035156,85.02999877929688,66.25753021240234,523305300,6.629997253417969,8.093258546887157
2015-08-24,187.49000549316406,197.47999572753906,182.39999389648438,189.5,170.15171813964844,507244300,15.080001831054688,8.043096372731457
2008-10-14,104.69999694824219,105.52999877929688,97.11000061035156,99.8499984741211,77.80563354492188,546268300,8.419998168945312,8.042023318403427
2020-03-17,245.0399932861328,256.1700134277344,237.07000732421875,252.8000030517578,248.16555786132812,262070500,19.100006103515625,7.7946484765091295
2000-04-04,151.75,153.0,141.390625,150.125,101.56684875488281,19585500,11.609375,7.650329489291598
1997-10-27,93.015625,93.9375,86.84375,87.1875,57.23757553100586,10840700,7.09375,7.626406853687216
2008-10-17,91.98999786376953,98.58999633789062,91.6500015258789,93.20999908447266,72.63157653808594,476649000,6.939994812011719,7.544292828758779
2020-03-12,256.0,266.6600036621094,247.67999267578125,248.11000061035156,243.56153869628906,392220700,18.980010986328125,7.414066791534424
2008-12-05,83.6500015258789,88.41999816894531,82.23999786376953,87.93000030517578,68.51724243164062,471905300,6.180000305175781,7.387926111709474
2008-10-23,90.29000091552734,92.44999694824219,85.80999755859375,91.69000244140625,71.44715118408203,634666400,6.6399993896484375,7.354080543049972
1998-10-15,100.125,107.25,99.9375,105.96875,70.5158462524414,20541100,7.3125,7.303370786516854
2020-04-06,257.8399963378906,267.0,248.1699981689453,264.8599853515625,261.5333557128906,188061200,18.830001831054688,7.302979405250458
1998-09-01,96.0625,100.5625,93.625,100.0625,66.35125732421875,24748500,6.9375,7.221860767729344
2008-10-07,106.83999633789062,107.33000183105469,99.6500015258789,100.02999877929688,77.94589233398438,540012100,7.680000305175781,7.188319513683923
2008-10-24,84.05999755859375,89.91999816894531,84.0,87.04000091552734,67.82376098632812,545812600,5.9199981689453125,7.0425866534421395
2008-09-29,119.13999938964844,119.33999633789062,110.97000122070312,111.37999725341797,86.79010009765625,459562300,8.3699951171875,7.025344267304683
2011-08-08,116.91000366210938,120.12000274658203,112.0199966430664,112.26000213623047,92.85636901855469,702263900,8.100006103515625,6.9284114701818655
2008-11-19,85.91000366210938,86.87000274658203,80.91999816894531,81.5,63.50685501098633,558327600,5.950004577636719,6.92585766965922
2001-09-28,102.9800033569336,109.62000274658203,102.5,104.44000244140625,71.88440704345703,21687200,7.120002746582031,6.913966318202343
2020-03-25,244.8699951171875,256.3500061035156,239.75,246.7899932861328,243.69032287597656,299430300,16.600006103515625,6.779109909146425
2008-09-18,118.05000305175781,121.79000091552734,113.80000305175781,120.06999969482422,93.02312469482422,776114700,7.989997863769531,6.768316524537825
2008-10-27,85.97000122070312,89.51000213623047,83.69999694824219,83.94999694824219,65.41597747802734,397288600,5.810005187988281,6.758177393847853
2020-03-20,242.52999877929688,244.47000122070312,228.5,228.8000030517578,225.92628479003906,347158800,15.970001220703125,6.584752938227605
2009-01-09,91.16000366210938,91.31999969482422,85.36000061035156,89.08999633789062,69.98470306396484,330953600,5.959999084472656,6.537953976574848
2000-04-14,142.625,142.8125,133.5,136.0,92.01060485839844,29604000,9.3125,6.529360210341806
